C601,C003,R027-0201,R027-0202,R027-0203,R027-0204,R027-0205
2024,P140350001,SI,SI,NO,NO,NO
2024,P140350259,SI,SI,NO,NO,NO
2024,P140460001,SI,SI,NO,NO,NO
2024,P140530001,SI,NO,NO,NO,NO
2024,P140420121,SI,NO,NO,NO,NO
2024,P140780001,SI,NO,NO,NO,NO
2024,P160730001,SI,SI,NO,NO,NO
2024,P140720001,SI,NO,NO,NO,NO
2024,P140080001,SI,NO,NO,NO,NO
2024,P140080280,SI,NO,NO,NO,NO
2024,P141090001,SI,NO,NO,NO,NO
2024,P160730011,SI,NO,NO,NO,NO
2024,P161000001,SI,NO,NO,NO,NO
2024,P140130001,SI,NO,NO,NO,NO
2024,P141050001,SI,NO,NO,NO,NO
