C601,C003,R027-0301,R027-0302,R027-0303,R027-0304,R027-0305,R027-0306
2024,P140350001,NA,NA,NA,NA,265,391
2024,P140350259,NA,NA,NA,NA,40,23
2024,P140460001,NA,NA,NA,NA,331,347
2024,P140530001,NA,NA,NA,NA,NA,1303
2024,P140420121,NA,NA,NA,NA,NA,211
2024,P140780001,NA,NA,NA,NA,NA,315
2024,P160730001,NA,NA,NA,NA,113,194
2024,P140720001,NA,NA,NA,NA,NA,85
2024,P140080001,NA,NA,NA,NA,NA,70
2024,P140080280,NA,NA,NA,NA,NA,534
2024,P141090001,NA,NA,NA,NA,NA,117
2024,P160730011,NA,NA,NA,NA,NA,111
2024,P161000001,NA,NA,NA,NA,NA,99
2024,P140130001,NA,NA,NA,NA,NA,327
2024,P141050001,NA,NA,NA,NA,NA,187
