C601,C602,C101,C102,C103,R004-0101
2024,P10,P104,P01,P01,"2,187"
2024,P10,P108,P01 ,P01,"30,801"
2024,P10,P111,P01 ,P01,"2,212"
2024,P10,P114,P01 ,P01,"38,023"
2024,P10,P115,P02,P01,80
2024,P10,P206,P01 ,P01,"2,212"
2024,P10,P207,P01 ,P01,"40,729"
2024,P10,P301,P01 ,P01,"42,333"
2024,P11,P104,P01,P01,"2,541"
2024,P11,P108,P01 ,P01,"31,262"
2024,P11,P111,P01 ,P01,"2,572"
2024,P11,P114,P01 ,P01,"38,246"
2024,P11,P115,P02,P01,80
2024,P11,P206,P01 ,P01,"2,572"
2024,P11,P207,P01 ,P01,"41,066"
2024,P11,P301,P01 ,P01,"42,689"
2024,P12,P104,P01,P01,"2,527"
2024,P12,P108,P01 ,P01,"31,750"
2024,P12,P111,P01 ,P01,"2,558"
2024,P12,P114,P01 ,P01,"38,532"
2024,P12,P115,P02,P01,80
2024,P12,P206,P01 ,P01,"2,558"
2024,P12,P207,P01 ,P01,"41,450"
2024,P12,P301,P01 ,P01,"43,090"
