C601,C602,R001-0701,R001-0702,R001-0703,R001-0704,R001-0705,R001-0706,R001-0707,R001-0708,R001-0709,R001-0710,R001-0711,R001-0712
2023,P10,358354.82,NA,4858125.17,NA,NA,NA,NA,NA,NA,NA,551550.67,1023696.76
2023,P11,437661.97,NA,4557899.17,NA,NA,NA,NA,NA,NA,NA,559670.55,399450.06
2023,P12,5016184.27,NA,4771053.27,NA,NA,NA,NA,NA,NA,NA,480378.69,373509.90
