C501,C502,C001,C101,C102,R001-0301
2025,P02,P02001,P165,P01,683
2025,P02,P07001,P165,P01,908
2025,P02,P15001,P165,P01,2398
2025,P02,P10001,P165,P01,543
2025,P02,P12001,P165,P01,584
2025,P02,P14001,P165,P01,5106
2025,P02,P24001,P165,P01,1127
2025,P02,P17001,P165,P01,622
2025,P02,P18001,P165,P01,325
2025,P02,P13001,P165,P01,1241
2025,P02,P27001,P165,P01,457
2025,P02,P06001,P165,P01,392
2025,P02,P30001,P165,P01,4457
2025,P02,P20001,P165,P01,658
2025,P02,P03001,P165,P01,145
2025,P02,P19001,P165,P01,1675
2025,P02,P29001,P165,P01,1056
2025,P02,P11001,P165,P01,3018
2025,P02,P16001,P165,P01,1925
2025,P02,P21001,P165,P01,4772
2025,P02,P04001,P165,P01,347
2025,P02,P26001,P165,P01,524
2025,P02,P31001,P165,P01,1238
2025,P02,P23001,P165,P01,583
2025,P02,P32001,P165,P01,650
2025,P02,P09002,P165,P01,28559
2025,P02,P05001,P165,P01,1185
2025,P02,P25001,P165,P01,521
2025,P02,P08001,P165,P01,1001
2025,P02,P01001,P165,P01,1197
2025,P02,P22001,P165,P01,1536
