C601,C602,R019-0201,R019-0202,R019-0203,R019-0204,R019-0205,R019-0206
2024,P12,"CELMAX MOVIL, S.A. DE C.V.",NA,NA,NA,0,1731
2024,P12,CENTERNEXT,NA,NA,NA,1605990,0
2024,P12,COEFICIENTE,NA,NA,NA,16983,0
2024,P12,COMUNICALO,NA,NA,NA,913012,0
2024,P12,CONNECT,NA,NA,NA,83840,789564
2024,P12,CONVERGIA,NA,NA,NA,4680832,0
2024,P12,COORDINADORA DE CARRIERS,NA,NA,NA,3886496,0
2024,P12,DIALOGA,NA,NA,NA,439,0
2024,P12,"DIRECTO TELECOM, S.A. DE C.V.",NA,NA,NA,15938654,7874702
2024,P12,FLYNODE,NA,NA,NA,586989,0
2024,P12,"IENTC, S. DE R.L. DE C.V.",NA,NA,NA,24663,0
2024,P12,"INBTEL, S.A. DE C.V.",NA,NA,NA,2191779,0
2024,P12,IP MATRIX,NA,NA,NA,282395,0
2024,P12,JAPIFON,NA,NA,NA,0,16404767
2024,P12,KIWI NETWORKS,NA,NA,NA,515,0
2024,P12,MAXCOM,NA,NA,NA,48939,0
2024,P12,MEGA CABLE,NA,NA,NA,5756078,2561717
2024,P12,MEGACABLE (MCM),NA,NA,NA,6089921,1978957
2024,P12,METRORED,NA,NA,NA,358195,0
2024,P12,Movistar PCS,NA,NA,NA,255516484,5594634
2024,P12,NGX NETWORKS,NA,NA,NA,24612,0
2024,P12,OPENIP,NA,NA,NA,2004915,1412744
2024,P12,OPERBES,NA,NA,NA,8773566,0
2024,P12,"OXIO MOBILE, S.A. DE C.V.",NA,NA,NA,64017,1983
2024,P12,ROBOT,NA,NA,NA,1695496,8798893
2024,P12,SERVNET,NA,NA,NA,6226005,117840
2024,P12,SPARKTELECOMM,NA,NA,NA,0,12870541
2024,P12,STARSATEL,NA,NA,NA,23,0
2024,P12,TELCEL,NA,NA,NA,1146442294,33109505
2024,P12,TELECOMMERCE,NA,NA,NA,706517,838456
2024,P12,TELEVISION INTERNACIONAL,NA,NA,NA,5919131,119879
2024,P12,TELIGENTIA,NA,NA,NA,1722553,0
2024,P12,TELMEX,NA,NA,NA,35491218,0
2024,P12,TELNOR,NA,NA,NA,118630,0
2024,P12,TOTAL PLAY,NA,NA,NA,10039963,0
2024,P12,UC TELECOM,NA,NA,NA,705154,0
2024,P12,VADSA,NA,NA,NA,257,3051941
2024,P12,VINOC,NA,NA,NA,34531,9680995
