C601,C003,R027-0501,R027-0502,R027-0503,R027-0504,R027-0505,R027-0506
2024,P210910001,NO,NO,NO,NO,NO,NO
2024,P210710027,NO,NO,NO,NO,NO,NO
2024,P210710008,NO,NO,NO,NO,NO,NO
2024,P210710011,NO,NO,NO,NO,NO,NO
2024,P210710056,NO,NO,NO,NO,NO,NO
