C601,C602,C002,R008-0301,R008-0302,R008-0303
2024,P03003,P10,16710,125,0
2024,P03003,P11,16112,84,3
2024,P03003,P12,15386,129,3
2024,P05018,P10,11156,100,14
2024,P05018,P11,10938,66,47
2024,P05018,P12,10851,102,65
2024,P05030,P10,25557,11,87
2024,P05030,P11,23712,46,72
2024,P05030,P12,23493,47,35
2024,P05035,P10,12688,159,18
2024,P05035,P11,11725,122,10
2024,P05035,P12,11254,173,5
2024,P07101,P10,18272,133,103
2024,P07101,P11,17505,135,107
2024,P07101,P12,16128,15,51
2024,P08037,P10,26705,361,11
2024,P08037,P11,24797,220,15
2024,P08037,P12,24337,420,12
2024,P09015,P10,141587,1226,85
2024,P09015,P11,138004,1267,101
2024,P09015,P12,138682,1181,56
2024,P10005,P10,28899,685,61
2024,P10005,P11,26948,708,41
2024,P10005,P12,26874,876,6
2024,P14039,P10,45178,532,63
2024,P14039,P11,41046,410,49
2024,P14039,P12,42589,511,67
2024,P14067,P10,13123,212,720
2024,P14067,P11,13075,295,614
2024,P14067,P12,12266,288,675
2024,P19039,P10,97805,1008,81
2024,P19039,P11,92528,773,46
2024,P19039,P12,86700,948,92
2024,P25012,P10,21518,175,34
2024,P25012,P11,20435,177,41
2024,P25012,P12,21829,154,73
2024,P28038,P10,475,2,0
2024,P28038,P11,333,0,0
2024,P28038,P12,231,13,0
2024,P30044,P10,9451,27,7
2024,P30044,P11,9615,34,11
2024,P30044,P12,9924,47,3
2024,P30087,P10,15072,47,44
2024,P30087,P11,14215,25,24
2024,P30087,P12,14049,8,6
2024,P30193,P10,7637,68,2
2024,P30193,P11,7713,42,12
2024,P30193,P12,8022,91,19
2024,P30193,P09,259,8182,132
