C601,C602,R001-0601,R001-0602,R001-0603,R001-0604,R001-0605,R001-0606,R001-0607,R001-0608,R001-0609,R001-0610,R001-0611,R001-0612,R001-0613
2024,P10,N/A,N/A,N/A,14252,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024,P11,N/A,N/A,N/A,14127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024,P12,N/A,N/A,N/A,13969,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
