C601,C602,C101,R002-0501
2024,P01,P108,862
2024,P01,P114,907
2024,P01,P207,748
2024,P02,P108,852
2024,P02,P114,912
2024,P02,P207,693
2024,P03,P108,824
2024,P03,P114,937
2024,P03,P207,672
2024,P04,P108,893
2024,P04,P114,921
2024,P04,P207,608
2024,P05,P108,863
2024,P05,P114,931
2024,P05,P207,601
2024,P06,P108,801
2024,P06,P114,909
2024,P06,P207,566
2024,P07,P108,836
2024,P07,P114,941
2024,P07,P207,532
2024,P08,P108,803
2024,P08,P114,947
2024,P08,P207,487
2024,P09,P108,800
2024,P09,P114,922
2024,P09,P207,449
2024,P10,P108,848
2024,P10,P114,917
2024,P10,P207,382
2024,P11,P108,856
2024,P11,P114,940
2024,P11,P207,349
2024,P12,P108,809
2024,P12,P114,928
2024,P12,P207,298
