C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,NA,NA,858380.89,NA,NA,NA,NA,NA,NA
2024,P02,NA,NA,813168.27,NA,NA,NA,NA,NA,NA
2024,P03,NA,NA,783892.27,NA,NA,NA,NA,NA,NA
2024,P04,NA,NA,766419.23,NA,NA,NA,NA,NA,NA
2024,P05,NA,NA,752434.19,NA,NA,NA,NA,NA,NA
2024,P06,NA,NA,723163.51,NA,NA,NA,NA,NA,NA
2024,P07,NA,NA,715118.01,NA,NA,NA,NA,NA,NA
2024,P08,NA,NA,685232.63,NA,NA,NA,NA,NA,NA
2024,P09,NA,NA,653733.03,NA,NA,NA,NA,NA,NA
2024,P10,NA,NA,663180.22,NA,NA,NA,NA,NA,NA
2024,P11,NA,NA,672614.26,NA,NA,NA,NA,NA,NA
2024,P12,NA,NA,936250.82,NA,NA,NA,NA,NA,NA
