C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,0,NA,243245.63,NA,NA,263739.72,NA,177151.47
2024,P02,0,NA,231939.96,NA,NA,311683.36,NA,71082.90
2024,P03,0,NA,233052.31,NA,NA,239745.71,NA,195209.06
2024,P04,0,NA,308711.73,NA,NA,284333.26,NA,122056.80
2024,P05,0,NA,303514.6,NA,NA,245207.59,NA,148280.30
2024,P06,0,NA,300457.12,NA,NA,277256.64,NA,191747.66
2024,P07,13225,NA,298668.18,NA,NA,236840.04,NA,146202.59
2024,P08,13225,NA,320536.07,NA,NA,274957.68,NA,127009.68
2024,P09,23212.82,NA,288606.33,NA,NA,233939.64,NA,128464.50
2024,P10,21725,NA,268298.42,NA,NA,278989.8,NA,129755.65
2024,P11,0,NA,287374.18,NA,NA,205702.95,NA,185793.47
2024,P12,0,NA,247283.56,NA,NA,352511.73,NA,140629.47
