C601,C602,C101,R002-0501
2023,P01,P108,33281
2023,P01,P111,52
2023,P01,P114,0
2023,P01,P115,10
2023,P02,P108,34607
2023,P02,P111,63
2023,P02,P114,0
2023,P02,P115,14
2023,P03,P108,35986
2023,P03,P111,96
2023,P03,P114,0
2023,P03,P115,10
2023,P04,P108,37282
2023,P04,P111,139
2023,P04,P114,0
2023,P04,P115,10
2023,P05,P108,37801
2023,P05,P111,143
2023,P05,P114,0
2023,P05,P115,10
2023,P06,P108,37406
2023,P06,P111,147
2023,P06,P114,0
2023,P06,P115,10
2023,P07,P108,39993
2023,P07,P111,163
2023,P07,P114,0
2023,P07,P115,10
2023,P08,P108,39820
2023,P08,P111,240
2023,P08,P114,0
2023,P08,P115,10
2023,P09,P108,39555
2023,P09,P111,190
2023,P09,P114,0
2023,P09,P115,10
2023,P10,P108,40690
2023,P10,P111,366
2023,P10,P114,0
2023,P10,P115,12
2023,P11,P108,39994
2023,P11,P111,248
2023,P11,P114,0
2023,P11,P115,10
2023,P12,P108,39703
2023,P12,P111,306
2023,P12,P114,0
2023,P12,P115,10
