C601,C602,C306,C401,R015-0301,R015-0302,R015-0303,R015-0304
2022,P04,P03,P01,223,0,0,0
2022,P04,P03,P02,591,0,0,0
2022,P04,P03,P03,622,0,0,0
2022,P04,P03,P04,2308,0,0,0
2022,P04,P03,P05,157,0,0,0
2022,P04,P03,P06,55,0,0,0
2022,P05,P03,P01,223,0,0,0
2022,P05,P03,P02,573,0,0,0
2022,P05,P03,P03,540,0,0,0
2022,P05,P03,P04,2314,0,0,0
2022,P05,P03,P05,153,0,0,0
2022,P05,P03,P06,54,0,0,0
2022,P06,P03,P01,220,0,0,0
2022,P06,P03,P02,573,0,0,0
2022,P06,P03,P03,540,0,0,0
2022,P06,P03,P04,2312,0,0,0
2022,P06,P03,P05,153,0,0,0
2022,P06,P03,P06,54,0,0,0
