C601,C602,C306,C401,R015-0101,R015-0102,R015-0103,R015-0104
2022,P04,P03,P01,22204588.43,0,0,0
2022,P04,P03,P02,3598345.58,0,0,0
2022,P04,P03,P03,2721139.7,0,0,0
2022,P04,P03,P04,12550698.62,0,0,0
2022,P04,P03,P05,2017440.11,0,0,0
2022,P04,P03,P06,920500,0,0,0
2022,P04,P03,NA,600,0,0,0
2022,P05,P03,P01,22315827.43,0,0,0
2022,P05,P03,P02,2781569.03,0,0,0
2022,P05,P03,P03,2728318.7,0,0,0
2022,P05,P03,P04,12650698.62,0,0,0
2022,P05,P03,P05,2017440.11,0,0,0
2022,P05,P03,P06,848000,0,0,0
2022,P05,P03,NA,600,0,0,0
2022,P06,P03,P01,22270132.45,0,0,0
2022,P06,P03,P02,2796569.03,0,0,0
2022,P06,P03,P03,2706389.7,0,0,0
2022,P06,P03,P04,12670698.62,0,0,0
2022,P06,P03,P05,2017440.11,0,0,0
2022,P06,P03,P06,848000,0,0,0
2022,P06,P03,NA,600,0,0,0
