C601,C602,C501,R018-0201,R018-0202,R018-0203,R018-0204,R018-0205,R018-0206,R018-0207,R018-0208
2024,P10,P01," Alestra Servicios Móviles, S.A. de C.V.",si,si,si,no,no,no,no
2024,P10,P01,"Cablevisión Red, S.A. de C.V.",si,si,si,no,no,no,no
2024,P10,P01,"Talento Net, S. de R.L. de C.V.",si,si,si,no,no,no,no
2024,P10,P03,"Mega Cable, S.A. de C.V.",si ,si ,si ,no,no,no,no
2024,P10,P03,"Corporación Novavisión, S. de R.L. de C.V.",si,si,si,no,no,no,no
2024,P10,P03,Next Telekom S.A.P.I. de C.V.,si,si,si,no,no,no,no
2024,P10,P03,"Yonder Media Mobile Mexico, S. de R.L. de C.V.",si,si,si,no,no,no,no
2024,P11,P01," Alestra Servicios Móviles, S.A. de C.V.",si,si,si,no,no,no,no
2024,P11,P01,"Cablevisión Red, S.A. de C.V.",si,si,si,no,no,no,no
2024,P11,P01,"Talento Net, S. de R.L. de C.V.",si,si,si,no,no,no,no
2024,P11,P03,"Mega Cable, S.A. de C.V.",si ,si ,si ,no,no,no,no
2024,P11,P03,"Corporación Novavisión, S. de R.L. de C.V.",si,si,si,no,no,no,no
2024,P11,P03,Next Telekom S.A.P.I. de C.V.,si,si,si,no,no,no,no
2024,P11,P03,"Yonder Media Mobile Mexico, S. de R.L. de C.V.",si,si,si,no,no,no,no
2024,P12,P01," Alestra Servicios Móviles, S.A. de C.V.",si,si,si,no,no,no,no
2024,P12,P01,"Cablevisión Red, S.A. de C.V.",si,si,si,no,no,no,no
2024,P12,P01,"Talento Net, S. de R.L. de C.V.",si,si,si,no,no,no,no
2024,P12,P03,"Mega Cable, S.A. de C.V.",si ,si ,si ,no,no,no,no
2024,P12,P03,"Corporación Novavisión, S. de R.L. de C.V.",si,si,si,no,no,no,no
2024,P12,P03,Next Telekom S.A.P.I. de C.V.,si,si,si,no,no,no,no
2024,P12,P03,"Yonder Media Mobile Mexico, S. de R.L. de C.V.",si,si,si,no,no,no,no
