C601,C602,C501,R018-0301,R018-0302,R018-0303,R018-0304,R018-0305,R018-0306,R018-0307,R018-0308
2024,P10,P01,57569912,NA,1281040,64692211,NA,NA,NA,NA
2024,P10,P03,256382,NA,NA,NA,NA,NA,NA,NA
2024,P11,P01,56785645,NA,1305227,75973812,NA,NA,NA,NA
2024,P11,P03,265314,NA,NA,NA,NA,NA,NA,NA
2024,P12,P01,57300795,NA,1345247,75587263,NA,NA,NA,NA
2024,P12,P03,210985,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,* P03 =,Paquetes,,,,,,,
