C601,C502,R001-0401,R001-0402,R001-0403,R001-0404,R001-0405,R001-0406,R001-0407,R001-0408,R001-0409,R001-0410,R001-0411,R001-0412,R001-0413,R001-0414
2024,P01,511494,0,0,0,0,44770,0,0,0,0,0,0,34397,0
2024,P02,512458,0,0,0,0,44459,0,0,0,0,0,0,34471,0
2024,P03,518026,0,0,0,0,44109,0,0,0,0,0,0,34571,0
2024,P04,524247,0,0,0,0,44262,0,0,0,0,0,0,35133,0
2025,P01,524695,0,0,0,0,44356,0,0,0,0,,0,36221,0
