C601,C602,R001-0701,R001-0702,R001-0703,R001-0704,R001-0705,R001-0706,R001-0707,R001-0708,R001-0709,R001-0710,R001-0711,R001-0712
2023,P01,0,NA,4624322.82,NA,NA,NA,NA,NA,NA,NA,683148.12,707493.03
2023,P02,0,NA,3905096.90,NA,NA,NA,NA,NA,NA,NA,554407.00,506173.32
2023,P03,0,NA,5084624.06,NA,NA,NA,NA,NA,NA,NA,448913.00,534946.69
