C601,C602,R001-0101,R001-0102,R001-0103,R001-0104,R001-0105,R001-0106,R001-0107,R001-0108,R001-0109
2023,P01,NA,NA,NA,6014963.97,NA,NA,1486093.85,NA,NA
2023,P02,NA,NA,NA,4965677.22,NA,NA,1190162.96,NA,NA
2023,P03,NA,NA,NA,6068483.75,NA,NA,1495613.85,NA,NA
