C601,C602,C102,C002,C205,C309,R010-0201
2021,P01,P01,P01001,P003,P011,37769
2021,P01,P01,P01005,P003,P011,1791
2021,P01,P01,P02001,P003,P011,10441
2021,P01,P01,P02002,P003,P011,22868
2021,P01,P01,P02004,P003,P011,98856
2021,P01,P01,P02005,P003,P011,4181
2021,P01,P01,P05027,P003,P011,2377
2021,P01,P01,P05030,P003,P011,31886
2021,P01,P01,P05035,P003,P011,21851
2021,P01,P01,P07101,P003,P011,14651
2021,P01,P01,P08019,P003,P011,40900
2021,P01,P01,P08021,P003,P011,6287
2021,P01,P01,P08037,P003,P011,87753
2021,P01,P01,P09002,P003,P011,34152
2021,P01,P01,P09003,P003,P011,27987
2021,P01,P01,P09004,P003,P011,8470
2021,P01,P01,P09005,P003,P011,43972
2021,P01,P01,P09006,P003,P011,27266
2021,P01,P01,P09007,P003,P011,69741
2021,P01,P01,P09008,P003,P011,17564
2021,P01,P01,P09010,P003,P011,39586
2021,P01,P01,P09012,P003,P011,32605
2021,P01,P01,P09013,P003,P011,20530
2021,P01,P01,P09014,P003,P011,43657
2021,P01,P01,P09015,P003,P011,11728
2021,P01,P01,P09016,P003,P011,20955
2021,P01,P01,P09017,P003,P011,18802
2021,P01,P01,P10007,P003,P011,4806
2021,P01,P01,P10012,P003,P011,2670
2021,P01,P01,P11003,P003,P011,1835
2021,P01,P01,P11007,P003,P011,17051
2021,P01,P01,P11015,P003,P011,1605
2021,P01,P01,P11017,P003,P011,15222
2021,P01,P01,P11020,P003,P011,52019
2021,P01,P01,P11027,P003,P011,3508
2021,P01,P01,P11031,P003,P011,4604
2021,P01,P01,P11037,P003,P011,3187
2021,P01,P01,P12001,P003,P011,3100
2021,P01,P01,P13048,P003,P011,22146
2021,P01,P01,P13051,P003,P011,11479
2021,P01,P01,P13077,P003,P011,5235
2021,P01,P01,P14039,P003,P011,89716
2021,P01,P01,P14067,P003,P011,12912
2021,P01,P01,P14070,P003,P011,12398
2021,P01,P01,P14097,P003,P011,13318
2021,P01,P01,P14098,P003,P011,46233
2021,P01,P01,P14101,P003,P011,20791
2021,P01,P01,P14120,P003,P011,91979
2021,P01,P01,P15011,P003,P011,385
2021,P01,P01,P15013,P003,P011,18434
2021,P01,P01,P15018,P003,P011,14
2021,P01,P01,P15020,P003,P011,21044
2021,P01,P01,P15024,P003,P011,37265
2021,P01,P01,P15030,P003,P011,7074
2021,P01,P01,P15031,P003,P011,21224
2021,P01,P01,P15033,P003,P011,82412
2021,P01,P01,P15037,P003,P011,4596
2021,P01,P01,P15051,P003,P011,7841
2021,P01,P01,P15052,P003,P011,487
2021,P01,P01,P15053,P003,P011,9609
2021,P01,P01,P15054,P003,P011,9886
2021,P01,P01,P15057,P003,P011,18780
2021,P01,P01,P15058,P003,P011,76599
2021,P01,P01,P15060,P003,P011,8552
2021,P01,P01,P15070,P003,P011,2837
2021,P01,P01,P15081,P003,P011,30637
2021,P01,P01,P15099,P003,P011,4539
2021,P01,P01,P15104,P003,P011,29125
2021,P01,P01,P15106,P003,P011,76555
2021,P01,P01,P15108,P003,P011,6417
2021,P01,P01,P15109,P003,P011,40453
2021,P01,P01,P15110,P003,P011,2283
2021,P01,P01,P15118,P003,P011,6298
2021,P01,P01,P16053,P003,P011,19808
2021,P01,P01,P17007,P003,P011,22272
2021,P01,P01,P17008,P003,P011,4917
2021,P01,P01,P17011,P003,P011,7793
2021,P01,P01,P17018,P003,P011,3544
2021,P01,P01,P17028,P003,P011,2483
2021,P01,P01,P18020,P003,P011,1602
2021,P01,P01,P19006,P003,P011,25028
2021,P01,P01,P19018,P003,P011,7
2021,P01,P01,P19019,P003,P011,1325
2021,P01,P01,P19021,P003,P011,10857
2021,P01,P01,P19026,P003,P011,31209
2021,P01,P01,P19031,P003,P011,11134
2021,P01,P01,P19039,P003,P011,53171
2021,P01,P01,P19046,P003,P011,12644
2021,P01,P01,P19048,P003,P011,13382
2021,P01,P01,P21041,P003,P011,5174
2021,P01,P01,P21114,P003,P011,83416
2021,P01,P01,P21119,P003,P011,14412
2021,P01,P01,P21140,P003,P011,1737
2021,P01,P01,P22006,P003,P011,3726
2021,P01,P01,P22014,P003,P011,16701
2021,P01,P01,P22016,P003,P011,4288
2021,P01,P01,P23005,P003,P011,27673
2021,P01,P01,P23008,P003,P011,3717
2021,P01,P01,P24028,P003,P011,66031
2021,P01,P01,P24035,P003,P011,25873
2021,P01,P01,P25001,P003,P011,7122
2021,P01,P01,P25006,P003,P011,15248
2021,P01,P01,P25012,P003,P011,10509
2021,P01,P01,P26030,P003,P011,19318
2021,P01,P01,P27004,P003,P011,8097
2021,P01,P01,P30028,P003,P011,10273
2021,P01,P01,P30038,P003,P011,2554
