C601,C602,R002-0301,R002-0302,
2024,P01,"46,500.00","17,600.00",
2024,P02,"50,000.00","21,600.00",
2024,P03,"53,200.00","24,000.00",
2024,P04,"48,000.00","19,500.00",
2024,P05,"51,300.00","22,500.00",
2024,P06,"42,900.00","13,100.00",
2024,P07,"42,700.00","13,700.00",
2024,P08,"48,500.00","19,420.00",
2024,P09,"37,100.00","8,200.00",
2024,P10,"46,400.00","17,240.00",
2024,P11,"49,235.00","19,200.00",
2024,P12,"48,290.00","18,100.00",
