C601,C602,R002-0301,R002-0302,
2023,P01,-8541.49,-13443.14,
2023,P02,-45725.89,-50627.54,
2023,P03,-11158.29,-16059.94,
2023,P04,1954.95,-2946.7,
2023,P05,-14318.42,-19220.07,
2023,P06,-1907.22,-6808.87,
2023,P07,-1344.65,-6246.3,
2023,P08,2285.26,-5098.95,
2023,P09,-4234.12,-11618.33,
2023,P10,-5706.66,-17827.53,
2023,P11,2545.33,-10546.37,
2023,P12,-1938.38,-15030.08,
