C601,C602,C002,C305,C102,R014-0101
2024,P10,P01001,P04,P01,5726
2024,P10,P01001,P04,P02,18
2024,P10,P01002,P04,P01,128
2024,P10,P01002,P04,P02,1
2024,P10,P01003,P04,P01,289
2024,P10,P01004,P04,P01,67
2024,P10,P01005,P04,P01,1134
2024,P10,P01006,P04,P01,157
2024,P10,P01007,P04,P01,244
2024,P10,P01008,P04,P01,77
2024,P10,P01009,P04,P01,105
2024,P10,P01010,P04,P01,54
2024,P10,P01011,P04,P01,305
2024,P10,P02001,P04,P01,6969
2024,P10,P02001,P04,P02,18
2024,P10,P02002,P04,P01,16471
2024,P10,P02002,P04,P02,53
2024,P10,P02003,P04,P01,2346
2024,P10,P02003,P04,P02,1
2024,P10,P02004,P04,P01,18635
2024,P10,P02004,P04,P02,58
2024,P10,P02005,P04,P01,1377
2024,P10,P03001,P04,P01,917
2024,P10,P03002,P04,P01,712
2024,P10,P03002,P04,P02,4
2024,P10,P03003,P04,P01,4504
2024,P10,P03003,P04,P02,24
2024,P10,P03008,P04,P01,2915
2024,P10,P03008,P04,P02,8
2024,P10,P03009,P04,P01,167
2024,P10,P03009,P04,P02,2
2024,P10,P04001,P04,P01,100
2024,P10,P04002,P04,P01,1661
2024,P10,P04002,P04,P02,5
2024,P10,P04003,P04,P01,947
2024,P10,P04003,P04,P02,10
2024,P10,P04004,P04,P01,382
2024,P10,P04004,P04,P02,1
2024,P10,P04005,P04,P01,91
2024,P10,P04006,P04,P01,26
2024,P10,P04007,P04,P01,53
2024,P10,P04008,P04,P01,30
2024,P10,P04009,P04,P01,160
2024,P10,P04009,P04,P02,2
2024,P10,P04010,P04,P01,8
2024,P10,P04011,P04,P01,128
2024,P10,P04011,P04,P02,1
2024,P10,P05001,P04,P01,15
2024,P10,P05002,P04,P01,762
2024,P10,P05002,P04,P02,10
2024,P10,P05003,P04,P01,274
2024,P10,P05004,P04,P01,454
2024,P10,P05004,P04,P02,1
2024,P10,P05005,P04,P01,5
2024,P10,P05006,P04,P01,198
2024,P10,P05007,P04,P01,116
2024,P10,P05008,P04,P01,19
2024,P10,P05009,P04,P01,402
2024,P10,P05010,P04,P01,406
2024,P10,P05010,P04,P02,1
2024,P10,P05011,P04,P01,22
2024,P10,P05012,P04,P01,26
2024,P10,P05013,P04,P01,4
2024,P10,P05014,P04,P01,153
2024,P10,P05015,P04,P01,4
2024,P10,P05016,P04,P01,35
2024,P10,P05017,P04,P01,943
2024,P10,P05017,P04,P02,1
2024,P10,P05018,P04,P01,1315
2024,P10,P05018,P04,P02,8
2024,P10,P05019,P04,P01,110
2024,P10,P05020,P04,P01,212
2024,P10,P05021,P04,P01,102
2024,P10,P05022,P04,P01,411
2024,P10,P05022,P04,P02,1
2024,P10,P05023,P04,P01,26
2024,P10,P05024,P04,P01,216
2024,P10,P05025,P04,P01,1662
2024,P10,P05025,P04,P02,2
2024,P10,P05026,P04,P01,4
2024,P10,P05027,P04,P01,1218
2024,P10,P05027,P04,P02,9
2024,P10,P05028,P04,P01,376
2024,P10,P05028,P04,P02,2
2024,P10,P05029,P04,P01,26
2024,P10,P05030,P04,P01,8062
2024,P10,P05030,P04,P02,42
2024,P10,P05031,P04,P01,287
2024,P10,P05031,P04,P02,1
2024,P10,P05032,P04,P01,258
2024,P10,P05033,P04,P01,621
2024,P10,P05033,P04,P02,1
2024,P10,P05034,P04,P01,32
2024,P10,P05035,P04,P01,6090
2024,P10,P05035,P04,P02,10
2024,P10,P05036,P04,P01,121
2024,P10,P05037,P04,P01,85
2024,P10,P05038,P04,P01,116
2024,P10,P06001,P04,P01,175
2024,P10,P06002,P04,P01,1829
2024,P10,P06002,P04,P02,3
2024,P10,P06003,P04,P01,154
2024,P10,P06004,P04,P01,81
2024,P10,P06005,P04,P01,209
2024,P10,P06006,P04,P01,23
2024,P10,P06007,P04,P01,1577
2024,P10,P06007,P04,P02,3
2024,P10,P06008,P04,P01,100
2024,P10,P06009,P04,P01,453
2024,P10,P06010,P04,P01,1578
2024,P10,P06010,P04,P02,4
2024,P10,P07001,P04,P01,17
2024,P10,P07002,P04,P01,19
2024,P10,P07003,P04,P01,41
2024,P10,P07004,P04,P01,10
2024,P10,P07005,P04,P01,1
2024,P10,P07006,P04,P01,1
2024,P10,P07007,P04,P01,2
2024,P10,P07008,P04,P01,70
2024,P10,P07009,P04,P01,230
2024,P10,P07009,P04,P02,1
2024,P10,P07011,P04,P01,5
2024,P10,P07012,P04,P01,247
2024,P10,P07013,P04,P01,20
2024,P10,P07014,P04,P01,14
2024,P10,P07015,P04,P01,85
2024,P10,P07016,P04,P01,21
2024,P10,P07017,P04,P01,104
2024,P10,P07017,P04,P02,1
2024,P10,P07018,P04,P01,1
2024,P10,P07019,P04,P01,405
2024,P10,P07019,P04,P02,3
2024,P10,P07020,P04,P01,91
2024,P10,P07021,P04,P01,16
2024,P10,P07022,P04,P01,6
2024,P10,P07023,P04,P01,51
2024,P10,P07024,P04,P01,5
2024,P10,P07026,P04,P01,38
2024,P10,P07027,P04,P01,419
2024,P10,P07028,P04,P01,2
2024,P10,P07029,P04,P01,7
2024,P10,P07030,P04,P01,15
2024,P10,P07031,P04,P01,15
2024,P10,P07032,P04,P01,22
2024,P10,P07032,P04,P02,1
2024,P10,P07033,P04,P01,1
2024,P10,P07034,P04,P01,69
2024,P10,P07035,P04,P01,36
2024,P10,P07036,P04,P01,8
2024,P10,P07037,P04,P01,71
2024,P10,P07038,P04,P01,21
2024,P10,P07039,P04,P01,20
2024,P10,P07040,P04,P01,88
2024,P10,P07040,P04,P02,1
2024,P10,P07041,P04,P01,43
2024,P10,P07042,P04,P01,1
2024,P10,P07043,P04,P01,3
2024,P10,P07044,P04,P01,23
2024,P10,P07045,P04,P01,4
2024,P10,P07046,P04,P01,60
2024,P10,P07047,P04,P01,18
2024,P10,P07048,P04,P01,67
2024,P10,P07049,P04,P01,15
2024,P10,P07050,P04,P01,15
2024,P10,P07051,P04,P01,48
2024,P10,P07051,P04,P02,1
2024,P10,P07052,P04,P01,60
2024,P10,P07053,P04,P01,2
2024,P10,P07054,P04,P01,94
2024,P10,P07055,P04,P01,27
2024,P10,P07056,P04,P01,1
2024,P10,P07057,P04,P01,46
2024,P10,P07058,P04,P01,20
2024,P10,P07059,P04,P01,54
2024,P10,P07059,P04,P02,1
2024,P10,P07061,P04,P01,154
2024,P10,P07062,P04,P01,15
2024,P10,P07062,P04,P02,1
2024,P10,P07063,P04,P01,9
2024,P10,P07064,P04,P01,12
2024,P10,P07065,P04,P01,265
2024,P10,P07065,P04,P02,1
2024,P10,P07066,P04,P01,2
2024,P10,P07068,P04,P01,33
2024,P10,P07068,P04,P02,1
2024,P10,P07069,P04,P01,192
2024,P10,P07071,P04,P01,22
2024,P10,P07072,P04,P01,15
2024,P10,P07073,P04,P01,4
2024,P10,P07074,P04,P01,154
2024,P10,P07075,P04,P01,21
2024,P10,P07076,P04,P01,9
2024,P10,P07077,P04,P01,36
2024,P10,P07078,P04,P01,761
2024,P10,P07078,P04,P02,18
2024,P10,P07079,P04,P01,66
2024,P10,P07080,P04,P01,13
2024,P10,P07081,P04,P01,46
2024,P10,P07082,P04,P01,4
2024,P10,P07083,P04,P01,16
2024,P10,P07084,P04,P01,1
2024,P10,P07085,P04,P01,13
2024,P10,P07086,P04,P01,32
2024,P10,P07087,P04,P01,61
2024,P10,P07088,P04,P01,3
2024,P10,P07089,P04,P01,1528
2024,P10,P07089,P04,P02,10
2024,P10,P07091,P04,P01,15
2024,P10,P07092,P04,P01,32
2024,P10,P07093,P04,P01,48
2024,P10,P07094,P04,P01,41
2024,P10,P07096,P04,P01,32
2024,P10,P07097,P04,P01,348
2024,P10,P07097,P04,P02,1
2024,P10,P07099,P04,P01,111
2024,P10,P07100,P04,P01,28
2024,P10,P07101,P04,P01,3534
2024,P10,P07101,P04,P02,9
2024,P10,P07102,P04,P01,147
2024,P10,P07103,P04,P01,35
2024,P10,P07104,P04,P01,34
2024,P10,P07105,P04,P01,33
2024,P10,P07106,P04,P01,40
2024,P10,P07107,P04,P01,179
2024,P10,P07108,P04,P01,288
2024,P10,P07109,P04,P01,50
2024,P10,P07111,P04,P01,27
2024,P10,P07112,P04,P01,23
2024,P10,P07115,P04,P01,16
2024,P10,P07117,P04,P01,8
2024,P10,P07122,P04,P01,2
2024,P10,P08001,P04,P01,103
2024,P10,P08002,P04,P01,405
2024,P10,P08003,P04,P01,228
2024,P10,P08004,P04,P01,217
2024,P10,P08005,P04,P01,389
2024,P10,P08006,P04,P01,47
2024,P10,P08007,P04,P01,45
2024,P10,P08009,P04,P01,164
2024,P10,P08009,P04,P02,2
2024,P10,P08010,P04,P01,276
2024,P10,P08011,P04,P01,401
2024,P10,P08012,P04,P01,42
2024,P10,P08013,P04,P01,109
2024,P10,P08014,P04,P01,4
2024,P10,P08015,P04,P01,6
2024,P10,P08016,P04,P01,67
2024,P10,P08017,P04,P01,1950
2024,P10,P08017,P04,P02,6
2024,P10,P08018,P04,P01,44
2024,P10,P08019,P04,P01,13584
2024,P10,P08019,P04,P02,38
2024,P10,P08020,P04,P01,1
2024,P10,P08021,P04,P01,1987
2024,P10,P08021,P04,P02,5
2024,P10,P08022,P04,P01,38
2024,P10,P08023,P04,P01,67
2024,P10,P08024,P04,P01,92
2024,P10,P08025,P04,P01,81
2024,P10,P08026,P04,P01,19
2024,P10,P08027,P04,P01,68
2024,P10,P08028,P04,P01,22
2024,P10,P08029,P04,P01,39
2024,P10,P08030,P04,P01,7
2024,P10,P08031,P04,P01,306
2024,P10,P08032,P04,P01,1090
2024,P10,P08032,P04,P02,19
2024,P10,P08033,P04,P01,6
2024,P10,P08034,P04,P01,34
2024,P10,P08035,P04,P01,129
2024,P10,P08036,P04,P01,236
2024,P10,P08037,P04,P01,11786
2024,P10,P08037,P04,P02,30
2024,P10,P08038,P04,P01,83
2024,P10,P08039,P04,P01,81
2024,P10,P08040,P04,P01,138
2024,P10,P08041,P04,P01,3
2024,P10,P08042,P04,P01,10
2024,P10,P08043,P04,P01,30
2024,P10,P08044,P04,P01,74
2024,P10,P08045,P04,P01,516
2024,P10,P08046,P04,P02,4
2024,P10,P08047,P04,P01,1
2024,P10,P08048,P04,P01,354
2024,P10,P08048,P04,P02,1
2024,P10,P08049,P04,P01,4
2024,P10,P08050,P04,P01,473
2024,P10,P08050,P04,P02,2
2024,P10,P08051,P04,P01,22
2024,P10,P08051,P04,P02,15
2024,P10,P08052,P04,P01,369
2024,P10,P08053,P04,P01,49
2024,P10,P08054,P04,P01,27
2024,P10,P08055,P04,P01,163
2024,P10,P08056,P04,P01,7
2024,P10,P08057,P04,P01,9
2024,P10,P08058,P04,P01,41
2024,P10,P08059,P04,P01,90
2024,P10,P08060,P04,P01,85
2024,P10,P08061,P04,P01,26
2024,P10,P08062,P04,P01,332
2024,P10,P08063,P04,P01,42
2024,P10,P08064,P04,P01,7
2024,P10,P08065,P04,P01,34
2024,P10,P08065,P04,P02,15
2024,P10,P08066,P04,P01,9
2024,P10,P08067,P04,P01,45
2024,P10,P09002,P04,P01,6514
2024,P10,P09002,P04,P02,30
2024,P10,P09003,P04,P01,13722
2024,P10,P09003,P04,P02,54
2024,P10,P09004,P04,P01,2666
2024,P10,P09004,P04,P02,18
2024,P10,P09005,P04,P01,17755
2024,P10,P09005,P04,P02,40
2024,P10,P09006,P04,P01,7585
2024,P10,P09006,P04,P02,11
2024,P10,P09007,P04,P01,28077
2024,P10,P09007,P04,P02,67
2024,P10,P09008,P04,P01,3606
2024,P10,P09008,P04,P02,7
2024,P10,P09009,P04,P01,1590
2024,P10,P09010,P04,P01,11248
2024,P10,P09010,P04,P02,71
2024,P10,P09011,P04,P01,4609
2024,P10,P09011,P04,P02,2
2024,P10,P09012,P04,P01,11013
2024,P10,P09012,P04,P02,51
2024,P10,P09013,P04,P01,6788
2024,P10,P09013,P04,P02,7
2024,P10,P09014,P04,P01,5828
2024,P10,P09014,P04,P02,68
2024,P10,P09015,P04,P01,12791
2024,P10,P09015,P04,P02,96
2024,P10,P09016,P04,P01,5617
2024,P10,P09016,P04,P02,61
2024,P10,P09017,P04,P01,8672
2024,P10,P09017,P04,P02,24
2024,P10,P10001,P04,P01,199
2024,P10,P10002,P04,P01,1
2024,P10,P10003,P04,P01,12
2024,P10,P10004,P04,P01,167
2024,P10,P10004,P04,P02,3
2024,P10,P10005,P04,P01,4344
2024,P10,P10005,P04,P02,12
2024,P10,P10006,P04,P01,18
2024,P10,P10007,P04,P01,2342
2024,P10,P10007,P04,P02,7
2024,P10,P10008,P04,P01,202
2024,P10,P10009,P04,P01,15
2024,P10,P10010,P04,P01,6
2024,P10,P10011,P04,P01,4
2024,P10,P10012,P04,P01,1137
2024,P10,P10013,P04,P01,257
2024,P10,P10014,P04,P01,24
2024,P10,P10015,P04,P01,58
2024,P10,P10016,P04,P01,132
2024,P10,P10017,P04,P01,68
2024,P10,P10018,P04,P01,46
2024,P10,P10020,P04,P01,90
2024,P10,P10021,P04,P01,62
2024,P10,P10022,P04,P01,90
2024,P10,P10023,P04,P01,132
2024,P10,P10023,P04,P02,1
2024,P10,P10024,P04,P01,47
2024,P10,P10025,P04,P01,8
2024,P10,P10026,P04,P01,5
2024,P10,P10027,P04,P01,4
2024,P10,P10028,P04,P01,150
2024,P10,P10029,P04,P01,2
2024,P10,P10030,P04,P01,3
2024,P10,P10031,P04,P01,49
2024,P10,P10032,P04,P01,96
2024,P10,P10033,P04,P01,11
2024,P10,P10034,P04,P01,12
2024,P10,P10035,P04,P01,24
2024,P10,P10036,P04,P01,216
2024,P10,P10038,P04,P01,107
2024,P10,P10039,P04,P01,103
2024,P10,P11001,P04,P01,357
2024,P10,P11001,P04,P02,1
2024,P10,P11002,P04,P01,541
2024,P10,P11003,P04,P01,1330
2024,P10,P11003,P04,P02,7
2024,P10,P11004,P04,P01,217
2024,P10,P11005,P04,P01,600
2024,P10,P11005,P04,P02,1
2024,P10,P11006,P04,P01,9
2024,P10,P11007,P04,P01,3889
2024,P10,P11007,P04,P02,10
2024,P10,P11008,P04,P01,235
2024,P10,P11009,P04,P01,311
2024,P10,P11010,P04,P01,54
2024,P10,P11011,P04,P01,284
2024,P10,P11011,P04,P02,3
2024,P10,P11012,P04,P01,93
2024,P10,P11013,P04,P01,86
2024,P10,P11014,P04,P01,574
2024,P10,P11014,P04,P02,2
2024,P10,P11015,P04,P01,2736
2024,P10,P11015,P04,P02,5
2024,P10,P11016,P04,P01,70
2024,P10,P11017,P04,P01,3857
2024,P10,P11017,P04,P02,10
2024,P10,P11018,P04,P01,233
2024,P10,P11019,P04,P01,243
2024,P10,P11020,P04,P01,25252
2024,P10,P11020,P04,P02,31
2024,P10,P11021,P04,P01,206
2024,P10,P11021,P04,P02,1
2024,P10,P11022,P04,P01,50
2024,P10,P11022,P04,P02,1
2024,P10,P11023,P04,P01,1075
2024,P10,P11024,P04,P01,34
2024,P10,P11025,P04,P01,1222
2024,P10,P11026,P04,P01,454
2024,P10,P11027,P04,P01,1730
2024,P10,P11027,P04,P02,6
2024,P10,P11028,P04,P01,556
2024,P10,P11029,P04,P01,117
2024,P10,P11030,P04,P01,358
2024,P10,P11031,P04,P01,1767
2024,P10,P11032,P04,P01,866
2024,P10,P11032,P04,P02,3
2024,P10,P11033,P04,P01,545
2024,P10,P11033,P04,P02,1
2024,P10,P11034,P04,P01,18
2024,P10,P11035,P04,P01,201
2024,P10,P11036,P04,P01,43
2024,P10,P11037,P04,P01,2348
2024,P10,P11037,P04,P02,1
2024,P10,P11038,P04,P01,43
2024,P10,P11039,P04,P01,142
2024,P10,P11040,P04,P01,58
2024,P10,P11041,P04,P01,252
2024,P10,P11042,P04,P01,606
2024,P10,P11043,P04,P01,94
2024,P10,P11044,P04,P01,232
2024,P10,P11045,P04,P01,56
2024,P10,P11046,P04,P01,374
2024,P10,P12001,P04,P01,6275
2024,P10,P12001,P04,P02,41
2024,P10,P12002,P04,P01,15
2024,P10,P12003,P04,P01,61
2024,P10,P12004,P04,P01,32
2024,P10,P12005,P04,P01,16
2024,P10,P12006,P04,P01,64
2024,P10,P12007,P04,P01,77
2024,P10,P12008,P04,P01,35
2024,P10,P12009,P04,P01,2
2024,P10,P12010,P04,P01,45
2024,P10,P12011,P04,P01,204
2024,P10,P12012,P04,P01,87
2024,P10,P12013,P04,P01,27
2024,P10,P12014,P04,P01,90
2024,P10,P12015,P04,P01,144
2024,P10,P12016,P04,P01,25
2024,P10,P12017,P04,P01,128
2024,P10,P12017,P04,P02,1
2024,P10,P12018,P04,P01,88
2024,P10,P12019,P04,P01,6
2024,P10,P12020,P04,P01,8
2024,P10,P12021,P04,P01,384
2024,P10,P12021,P04,P02,1
2024,P10,P12022,P04,P01,90
2024,P10,P12023,P04,P01,64
2024,P10,P12024,P04,P01,6
2024,P10,P12025,P04,P01,20
2024,P10,P12026,P04,P01,33
2024,P10,P12027,P04,P01,96
2024,P10,P12028,P04,P01,313
2024,P10,P12029,P04,P01,1937
2024,P10,P12029,P04,P02,2
2024,P10,P12030,P04,P01,86
2024,P10,P12031,P04,P01,9
2024,P10,P12032,P04,P01,45
2024,P10,P12033,P04,P01,22
2024,P10,P12034,P04,P01,274
2024,P10,P12035,P04,P01,928
2024,P10,P12035,P04,P02,3
2024,P10,P12036,P04,P01,8
2024,P10,P12037,P04,P01,33
2024,P10,P12038,P04,P01,837
2024,P10,P12038,P04,P02,15
2024,P10,P12039,P04,P01,155
2024,P10,P12040,P04,P01,58
2024,P10,P12041,P04,P01,9
2024,P10,P12042,P04,P01,32
2024,P10,P12043,P04,P01,21
2024,P10,P12044,P04,P01,38
2024,P10,P12045,P04,P01,31
2024,P10,P12046,P04,P01,137
2024,P10,P12047,P04,P01,23
2024,P10,P12048,P04,P01,165
2024,P10,P12049,P04,P01,36
2024,P10,P12050,P04,P01,62
2024,P10,P12050,P04,P02,1
2024,P10,P12051,P04,P01,96
2024,P10,P12052,P04,P01,28
2024,P10,P12053,P04,P01,274
2024,P10,P12054,P04,P01,32
2024,P10,P12055,P04,P01,447
2024,P10,P12056,P04,P01,95
2024,P10,P12057,P04,P01,208
2024,P10,P12058,P04,P01,269
2024,P10,P12059,P04,P01,253
2024,P10,P12060,P04,P01,47
2024,P10,P12061,P04,P01,227
2024,P10,P12062,P04,P01,8
2024,P10,P12063,P04,P01,4
2024,P10,P12064,P04,P01,17
2024,P10,P12065,P04,P01,26
2024,P10,P12066,P04,P01,178
2024,P10,P12066,P04,P02,1
2024,P10,P12067,P04,P01,45
2024,P10,P12068,P04,P01,116
2024,P10,P12069,P04,P01,16
2024,P10,P12070,P04,P01,13
2024,P10,P12071,P04,P01,13
2024,P10,P12072,P04,P01,2
2024,P10,P12073,P04,P01,45
2024,P10,P12074,P04,P01,21
2024,P10,P12075,P04,P01,172
2024,P10,P12075,P04,P02,2
2024,P10,P12076,P04,P01,6
2024,P10,P12077,P04,P01,77
2024,P10,P12078,P04,P01,10
2024,P10,P12079,P04,P01,5
2024,P10,P12080,P04,P01,11
2024,P10,P12081,P04,P01,3
2024,P10,P13001,P04,P01,141
2024,P10,P13002,P04,P01,192
2024,P10,P13003,P04,P01,405
2024,P10,P13004,P04,P01,42
2024,P10,P13005,P04,P01,113
2024,P10,P13006,P04,P01,164
2024,P10,P13007,P04,P01,124
2024,P10,P13008,P04,P01,310
2024,P10,P13008,P04,P02,1
2024,P10,P13009,P04,P01,158
2024,P10,P13010,P04,P01,292
2024,P10,P13010,P04,P02,1
2024,P10,P13011,P04,P01,3
2024,P10,P13012,P04,P01,198
2024,P10,P13013,P04,P01,580
2024,P10,P13014,P04,P01,7
2024,P10,P13015,P04,P01,82
2024,P10,P13016,P04,P01,382
2024,P10,P13017,P04,P01,72
2024,P10,P13018,P04,P01,60
2024,P10,P13019,P04,P01,103
2024,P10,P13020,P04,P01,9
2024,P10,P13021,P04,P01,90
2024,P10,P13022,P04,P01,125
2024,P10,P13023,P04,P01,190
2024,P10,P13024,P04,P01,229
2024,P10,P13024,P04,P02,1
2024,P10,P13025,P04,P01,9
2024,P10,P13026,P04,P01,3
2024,P10,P13027,P04,P01,10
2024,P10,P13028,P04,P01,36
2024,P10,P13029,P04,P01,340
2024,P10,P13029,P04,P02,1
2024,P10,P13030,P04,P01,444
2024,P10,P13031,P04,P01,82
2024,P10,P13032,P04,P01,1
2024,P10,P13033,P04,P01,1
2024,P10,P13034,P04,P01,10
2024,P10,P13035,P04,P01,54
2024,P10,P13036,P04,P01,32
2024,P10,P13037,P04,P01,68
2024,P10,P13038,P04,P01,69
2024,P10,P13039,P04,P01,55
2024,P10,P13040,P04,P01,42
2024,P10,P13041,P04,P01,185
2024,P10,P13042,P04,P01,46
2024,P10,P13043,P04,P01,14
2024,P10,P13044,P04,P01,113
2024,P10,P13045,P04,P01,34
2024,P10,P13046,P04,P01,20
2024,P10,P13047,P04,P01,10
2024,P10,P13048,P04,P01,2374
2024,P10,P13048,P04,P02,21
