C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,N/A,N/A,128519,N/A,55471,75471,N/A,146954
2024,P02,N/A,N/A,132154,N/A,56600,86106,N/A,167130
2024,P03,N/A,N/A,133391,N/A,53828,109597,N/A,124689
2024,P04,N/A,N/A,122778,N/A,45000,83948,N/A,289672
2024,P05,N/A,N/A,112562,N/A,47254,108479,N/A,205577
2024,P06,N/A,N/A,104701,N/A,10306,82955,N/A,111935
2024,P07,N/A,N/A,138454,N/A,30677,102833,N/A,136541
2024,P08,N/A,N/A,120353,N/A,41557,83203,N/A,155864
2024,P09,N/A,N/A,103332,N/A,25000,108007,N/A,114955
2024,P10,N/A,N/A,123644,N/A,35276,84195,N/A,116707
2024,P11,N/A,N/A,118886,N/A,46200,103880,N/A,111742
2024,P12,N/A,N/A,141973,N/A,1265,164237,N/A,129629
