C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024,P110050001,NO,SI,SI,NO
2024,P110050045,NO,SI,SI,NO
2024,P110050047,NO,SI,SI,NO
2024,P110050051,NO,SI,SI,NO
2024,P110050036,NO,SI,SI,NO
2024,P110050022,NO,SI,SI,NO
2024,P110070185,NO,SI,SI,NO
2024,P160090001,NO,SI,SI,NO
2024,P201500001,NO,SI,SI,NO
2024,P203380001,NO,SI,SI,NO
2024,P203380007,NO,SI,SI,NO
2024,P200450008,NO,SI,SI,NO
2024,P201780009,NO,SI,SI,NO
2024,P201780006,NO,SI,SI,NO
2024,P200630001,NO,SI,SI,NO
2024,P205390002,NO,SI,SI,NO
2024,P205390003,NO,SI,SI,NO
2024,P205390001,NO,SI,SI,NO
2024,P200330001,NO,SI,SI,NO
2024,P202270002,NO,SI,SI,NO
