C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,NA,NA,NA,NA,NA,3672,NA,NA,NA,4527,NA ,NA ,NA 
2024,P02,NA,NA,NA,NA,NA,3896,NA,NA,NA,4841,NA ,NA ,NA 
2024,P03,NA,NA,NA,NA,NA,3774,NA,NA,NA,4785,NA ,NA ,NA 
2024,P04,NA,NA,NA,NA,NA,3947,NA,NA,NA,4827,NA ,NA ,NA 
2024,P05,NA,NA,NA,NA,NA,4063,NA,NA,NA,5014,NA ,NA ,NA 
2024,P06,NA,NA,NA,NA,NA,4035,NA,NA,NA,4954,NA ,NA ,NA 
2024,P07,NA,NA,NA,NA,NA,3875,NA,NA,NA,4796,NA ,NA ,NA 
2024,P08,NA,NA,NA,NA,NA,3837,NA,NA,NA,4758,NA ,NA ,NA 
2024,P09,NA,NA,NA,NA,NA,3721,NA,NA,NA,4493,NA ,NA ,NA 
2024,P10,NA,NA,NA,NA,NA,3953,NA,NA,NA,4875,NA ,NA ,NA 
2024,P11,NA,NA,NA,NA,NA,4011,NA,NA,NA,4938,NA ,NA ,NA 
2024,P12,NA,NA,NA,NA,NA,3782,NA,NA,NA,4650,NA ,NA ,NA 
