C601,C602,C102,R012-0201,R012-0202
2024,P10,P01,794170,NA
2024,P10,P02,963,NA
2024,P11,P01,813441,NA
2024,P11,P02,965,NA
2024,P12,P01,829221,NA
2024,P12,P02,869,NA
