C601,C003,R027-0201,R027-0202,R027-0203,R027-0204,R027-0205
2024,140190239,NO,NO,NO,NO,NO
2024,140190240,NO,NO,NO,NO,NO
2024,140190241,NO,NO,NO,NO,NO
2024,140190242,NO,NO,NO,NO,NO
2024,140190243,NO,NO,NO,NO,NO
2024,140190244,NO,NO,NO,NO,NO
2024,140190245,NO,NO,NO,NO,NO
2024,140190246,NO,NO,NO,NO,NO
2024,140190249,NO,NO,NO,NO,NO
2024,140190253,NO,NO,NO,NO,NO
2024,140190256,NO,NO,NO,NO,NO
2024,140190257,NO,NO,NO,NO,NO
2024,140190258,NO,NO,NO,NO,NO
2024,140190259,NO,NO,NO,NO,NO
2024,140190260,NO,NO,NO,NO,NO
2024,140190261,NO,NO,NO,NO,NO
2024,140190262,NO,NO,NO,NO,NO
2024,140190263,NO,NO,NO,NO,NO
2024,140190266,NO,NO,NO,NO,NO
2024,140190267,NO,NO,NO,NO,NO
2024,140190268,NO,NO,NO,NO,NO
2024,140190272,NO,NO,NO,NO,NO
2024,140190274,NO,NO,NO,NO,NO
2024,140190275,NO,NO,NO,NO,NO
2024,140190276,NO,NO,NO,NO,NO
2024,140190277,NO,NO,NO,NO,NO
2024,140190278,NO,NO,NO,NO,NO
2024,140190279,NO,NO,NO,NO,NO
2024,140190280,NO,NO,NO,NO,NO
2024,140190281,NO,NO,NO,NO,NO
2024,140190282,NO,NO,NO,NO,NO
2024,140190283,NO,NO,NO,NO,NO
2024,140190285,NO,NO,NO,NO,NO
2024,140190286,NO,NO,NO,NO,NO
2024,140190287,NO,NO,NO,NO,NO
2024,140190288,NO,NO,NO,NO,NO
2024,140190291,NO,NO,NO,NO,NO
2024,140190292,NO,NO,NO,NO,NO
2024,140190293,NO,NO,NO,NO,NO
2024,140190294,NO,NO,NO,NO,NO
2024,140190295,NO,NO,NO,NO,NO
2024,140190296,NO,NO,NO,NO,NO
2024,140190297,NO,NO,NO,NO,NO
2024,140190300,NO,NO,NO,NO,NO
2024,140190307,NO,NO,NO,NO,NO
2024,140190308,NO,NO,NO,NO,NO
2024,140190309,NO,NO,NO,NO,NO
2024,140190315,NO,NO,NO,NO,NO
2024,140190322,NO,NO,NO,NO,NO
2024,140190323,NO,NO,NO,NO,NO
2024,140190327,NO,NO,NO,NO,NO
2024,140190330,NO,NO,NO,NO,NO
2024,140190332,NO,NO,NO,NO,NO
2024,140190333,NO,NO,NO,NO,NO
2024,140190334,NO,NO,NO,NO,NO
2024,140190335,NO,NO,NO,NO,NO
2024,140190336,NO,NO,NO,NO,NO
2024,140190337,NO,NO,NO,NO,NO
2024,140190338,NO,NO,NO,NO,NO
2024,140190339,NO,NO,NO,NO,NO
2024,140190340,NO,NO,NO,NO,NO
2024,140190341,NO,NO,NO,NO,NO
2024,140190342,NO,NO,NO,NO,NO
2024,140190343,NO,NO,NO,NO,NO
2024,140190344,NO,NO,NO,NO,NO
2024,140190345,NO,NO,NO,NO,NO
2024,140190346,NO,NO,NO,NO,NO
2024,140190347,NO,NO,NO,NO,NO
2024,140190348,NO,NO,NO,NO,NO
2024,140190349,NO,NO,NO,NO,NO
2024,140190350,NO,NO,NO,NO,NO
2024,140190351,NO,NO,NO,NO,NO
2024,140190352,NO,NO,NO,NO,NO
2024,140190353,NO,NO,NO,NO,NO
2024,140190354,NO,NO,NO,NO,NO
2024,140190355,NO,NO,NO,NO,NO
2024,140190356,NO,NO,NO,NO,NO
2024,140190357,NO,NO,NO,NO,NO
2024,140190358,NO,NO,NO,NO,NO
2024,140190359,NO,NO,NO,NO,NO
2024,140190360,NO,NO,NO,NO,NO
2024,140190361,NO,NO,NO,NO,NO
2024,140190362,NO,NO,NO,NO,NO
2024,140190363,NO,NO,NO,NO,NO
2024,140190364,NO,NO,NO,NO,NO
2024,140190365,NO,NO,NO,NO,NO
2024,140190367,NO,NO,NO,NO,NO
2024,140190368,NO,NO,NO,NO,NO
2024,140190369,NO,NO,NO,NO,NO
2024,140190370,NO,NO,NO,NO,NO
2024,140190371,NO,NO,NO,NO,NO
2024,140190372,NO,NO,NO,NO,NO
2024,140190373,NO,NO,NO,NO,NO
2024,140190374,NO,NO,NO,NO,NO
2024,140190375,NO,NO,NO,NO,NO
2024,140190376,NO,NO,NO,NO,NO
2024,140190377,NO,NO,NO,NO,NO
2024,140190378,NO,NO,NO,NO,NO
2024,140190379,NO,NO,NO,NO,NO
2024,140190380,NO,NO,NO,NO,NO
2024,140190381,NO,NO,NO,NO,NO
2024,140190382,NO,NO,NO,NO,NO
2024,140190383,NO,NO,NO,NO,NO
2024,140190384,NO,NO,NO,NO,NO
2024,140190385,NO,NO,NO,NO,NO
2024,140190386,NO,NO,NO,NO,NO
2024,140190387,NO,NO,NO,NO,NO
2024,140190388,NO,NO,NO,NO,NO
2024,140190389,NO,NO,NO,NO,NO
2024,140190390,NO,NO,NO,NO,NO
2024,140190391,NO,NO,NO,NO,NO
2024,140190392,NO,NO,NO,NO,NO
2024,140190393,NO,NO,NO,NO,NO
2024,140190394,NO,NO,NO,NO,NO
2024,140190395,NO,NO,NO,NO,NO
2024,140190396,NO,NO,NO,NO,NO
2024,140190397,NO,NO,NO,NO,NO
2024,140190398,NO,NO,NO,NO,NO
2024,140190399,NO,NO,NO,NO,NO
2024,140190400,NO,NO,NO,NO,NO
2024,140190401,NO,NO,NO,NO,NO
2024,140190402,NO,NO,NO,NO,NO
2024,140190403,NO,NO,NO,NO,NO
2024,140190404,NO,NO,NO,NO,NO
2024,140190405,NO,NO,NO,NO,NO
2024,140190406,NO,NO,NO,NO,NO
2024,140190407,NO,NO,NO,NO,NO
2024,140190408,NO,NO,NO,NO,NO
2024,140190409,NO,NO,NO,NO,NO
2024,140190410,NO,NO,NO,NO,NO
2024,140190411,NO,NO,NO,NO,NO
2024,140190412,NO,NO,NO,NO,NO
2024,140190413,NO,NO,NO,NO,NO
2024,140190414,NO,NO,NO,NO,NO
2024,140190415,NO,NO,NO,NO,NO
2024,140190416,NO,NO,NO,NO,NO
2024,140190417,NO,NO,NO,NO,NO
2024,140190418,NO,NO,NO,NO,NO
2024,140190419,NO,NO,NO,NO,NO
2024,140190420,NO,NO,NO,NO,NO
2024,140190421,NO,NO,NO,NO,NO
2024,140190422,NO,NO,NO,NO,NO
2024,140190423,NO,NO,NO,NO,NO
2024,140190424,NO,NO,NO,NO,NO
2024,140190425,NO,NO,NO,NO,NO
2024,140190426,NO,NO,NO,NO,NO
2024,140190427,NO,NO,NO,NO,NO
2024,140190428,NO,NO,NO,NO,NO
2024,140190429,NO,NO,NO,NO,NO
2024,140190430,NO,NO,NO,NO,NO
2024,140190431,NO,NO,NO,NO,NO
2024,140190432,NO,NO,NO,NO,NO
2024,140190433,NO,NO,NO,NO,NO
2024,140190434,NO,NO,NO,NO,NO
2024,140190435,NO,NO,NO,NO,NO
2024,140190436,NO,NO,NO,NO,NO
2024,140190437,NO,NO,NO,NO,NO
2024,140190438,NO,NO,NO,NO,NO
2024,140190439,NO,NO,NO,NO,NO
2024,140190440,NO,NO,NO,NO,NO
2024,140190441,NO,NO,NO,NO,NO
2024,140190442,NO,NO,NO,NO,NO
2024,140190443,NO,NO,NO,NO,NO
2024,140190444,NO,NO,NO,NO,NO
2024,140250001,NO,NO,NO,NO,NO
