C601,C602,C101,C102,R004-0201,R004-0202
2024,P10,P115,P02,NA,15174840.88
2024,P11,P115,P02,NA,16902649.35
2024,P12,P115,P02,NA,16869105.99
2024,P10,P108,P02,NA,18048617.52
2024,P11,P108,P02,NA,11623241.18
2024,P12,P108,P02,NA,20544250.87
2024,P10,P101,P02,NA,0
2024,P11,P101,P02,NA,0
2024,P12,P101,P02,NA,0
