C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2020,P01,28,NA,NA,NA,NA,3164,NA,NA,NA,NA,7,NA,NA
2020,P02,28,NA,NA,NA,NA,3166,NA,NA,NA,NA,8,NA,NA
2020,P03,28,NA,NA,NA,NA,3292,NA,NA,NA,NA,8,NA,NA
2020,P04,26,NA,NA,NA,NA,3233,NA,NA,NA,NA,8,NA,NA
2020,P05,26,NA,NA,NA,NA,3369,NA,NA,NA,NA,8,NA,NA
2020,P06,26,NA,NA,NA,NA,3594,NA,NA,NA,NA,9,NA,NA
2020,P07,26,NA,NA,NA,NA,3732,NA,NA,NA,NA,10,NA,NA
2020,P08,26,NA,NA,NA,NA,3813,NA,NA,NA,NA,13,NA,NA
2020,P09,31,NA,NA,NA,NA,3892,NA,NA,NA,NA,12,NA,NA
2020,P10,34,NA,NA,NA,NA,3953,NA,NA,NA,NA,12,NA,NA
2020,P11,35,NA,NA,NA,NA,4349,NA,NA,NA,NA,14,NA,NA
2020,P12,37,NA,NA,NA,NA,4042,NA,NA,NA,NA,14,NA,NA
