C601,C602,C101,R002-0501
2020,P01,P108,3164
2020,P01,P115,7
2020,P01,P201,28
2020,P02,P108,3166
2020,P02,P115,8
2020,P02,P201,28
2020,P03,P108,3292
2020,P03,P115,8
2020,P03,P201,28
2020,P04,P108,3233
2020,P04,P115,8
2020,P04,P201,26
2020,P05,P108,3369
2020,P05,P115,8
2020,P05,P201,26
2020,P06,P108,3594
2020,P06,P115,9
2020,P06,P201,26
2020,P07,P108,3732
2020,P07,P115,10
2020,P07,P201,26
2020,P08,P108,3813
2020,P08,P115,13
2020,P08,P201,26
2020,P09,P108,3892
2020,P09,P115,12
2020,P09,P201,31
2020,P10,P108,3953
2020,P10,P115,12
2020,P10,P201,34
2020,P11,P108,4349
2020,P11,P115,14
2020,P11,P201,35
2020,P12,P108,4042
2020,P12,P115,14
2020,P12,P201,37
