C601,C602,C003,C006,C101,C102,C103,R001-0501
2024,P10,NA,NA,P206,P01,P01,15816542
2024,P10,NA,NA,P108,P01,P01,89806
2024,P10,NA,NA,P111,P01,P01,166241
2024,P10,NA,NA,P206,P02,P01,14002
2024,P10,NA,NA,P111,P02,P01,60
2024,P10,NA,NA,P108,P02,P01,134
2024,P11,NA,NA,P206,P01,P01,17002362
2024,P11,NA,NA,P108,P01,P01,92010
2024,P11,NA,NA,P111,P01,P01,176830
2024,P11,NA,NA,P206,P02,P01,21811
2024,P11,NA,NA,P111,P02,P01,60
2024,P11,NA,NA,P108,P02,P01,134
2024,P12,NA,NA,P206,P01,P01,18043168
2024,P12,NA,NA,P108,P01,P01,93789
2024,P12,NA,NA,P111,P01,P01,187400
2024,P12,NA,NA,P206,P02,P01,13745
2024,P12,NA,NA,P111,P02,P01,60
2024,P12,NA,NA,P108,P02,P01,130
