C601,C602,R001-0601,R001-0602,R001-0603,R001-0604,R001-0605,R001-0606,R001-0607,R001-0608,R001-0609,R001-0610,R001-0611,R001-0612,R001-0613
2024,P10,NA,NA,15830544,NA,NA,89940,NA,15996845,NA,NA,NA,NA,NA
2024,P11,NA,NA,17024173,NA,NA,92144,NA,17201063,NA,NA,NA,NA,NA
2024,P12,NA,NA,18056913,NA,NA,93919,NA,18244373,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
