C601,C602,R014-0201,R014-0202,R014-0203,R014-0204
2021,1,23252.04,No aplica,No aplica,No aplica
2021,2,"24,844.22",No aplica,No aplica,No aplica
2021,3,22976.18,No aplica,No aplica,No aplica
2021,4,23052.04,No aplica,No aplica,No aplica
2021,5,45542.81,No aplica,No aplica,No aplica
2021,6,54454.87,No aplica,No aplica,No aplica
2021,7,29993.31,No aplica,No aplica,No aplica
2021,8,275.86,No aplica,No aplica,No aplica
2021,9,,No aplica,No aplica,No aplica
2021,10,79598.87,No aplica,No aplica,No aplica
2021,11,49118.58,No aplica,No aplica,No aplica
2021,12,5017.24,No aplica,No aplica,No aplica
