C601,C602,C502,R007-1001,R007-1002,R007-1003,R007-1004,R007-1005
2024,P10,P02,Altán Redes S.A.P.I. de C.V.,Sí,Sí,No,No
2024,P11,P02,Altán Redes S.A.P.I. de C.V.,Sí,Sí,No,No
2024,P12,P02,Altán Redes S.A.P.I. de C.V.,Sí,Sí,No,No
