C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,1008.62,0,116372.11,NA,0,315422.54,NA,458066.24
2024,P02,1008.62,0,153750.53,NA,0,351529.47,NA,376709.64
2024,P03,1008.62,0,153463.67,NA,0,319025.08,NA,257117
2024,P04,1008.62,0,154893.28,NA,0,394022.01,NA,202828.77
2024,P05,6012.67,0,220411.7,NA,0,332292.04,NA,250759.92
2024,P06,5033.62,0,188131.09,NA,0,371070.75,NA,159993.63
2024,P07,1008.62,0,187763.82,NA,0,316404.01,NA,239248.11
2024,P08,1008.62,0,193482.67,NA,0,379819.78,NA,160310.01
2024,P09,4568.34,0,192736.59,NA,0,294983.69,NA,369216.64
2024,P10,1008.62,0,194114.16,NA,0,354102.39,NA,190999.68
2024,P11,1008.62,0,194065.16,NA,0,296039.6,NA,224381.65
2024,P12,1008.62,0,193342,NA,0,463316.77,NA,265525.72
