C601,C003,R027-0301,R027-0302,R027-0303,R027-0304,R027-0305,R027-0306
2024,P160140001,NA,NA,NA,1853,NA,NA
2024,P160140016,NA,NA,NA,617,NA,NA
2024,P160140060,NA,NA,NA,112,NA,NA
2024,P060090025,NA,NA,NA,1917,NA,NA
2024,P160140073,NA,NA,NA,127,NA,NA
2024,P160140066,NA,NA,NA,129,NA,NA
2024,P160140071,NA,NA,NA,186,NA,NA
2024,P110380001,NA,NA,NA,1543,NA,NA
2024,P110190001,NA,NA,NA,1908,NA,NA
2024,P110190068,NA,NA,NA,646,NA,NA
2024,P110190069,NA,NA,NA,140,NA,NA
2024,P110100001,NA,NA,NA,1105,NA,NA
