C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,NA,NA,NA,NA,NA,0,NA,NA,NA,2480,NA,NA,NA
2024,P02,NA,NA,NA,NA,NA,0,NA,NA,NA,2402,NA,NA,NA
2024,P03,NA,NA,NA,NA,NA,0,NA,NA,NA,2289,NA,NA,NA
2024,P04,NA,NA,NA,NA,NA,124,NA,NA,NA,2211,NA,NA,NA
2024,P05,NA,NA,NA,NA,NA,265,NA,NA,NA,2243,NA,NA,NA
2024,P06,NA,NA,NA,NA,NA,458,NA,NA,NA,2288,NA,NA,NA
2024,P07,NA,NA,NA,NA,NA,613,NA,NA,NA,2289,NA,NA,NA
2024,P08,NA,NA,NA,NA,NA,605,NA,NA,NA,2481,NA,NA,NA
2024,P09,NA,NA,NA,NA,NA,791,NA,NA,NA,2431,NA,NA,NA
2024,P10,NA,NA,NA,NA,NA,888,NA,NA,NA,2316,NA,NA,NA
2024,P11,NA,NA,NA,NA,NA,964,NA,NA,NA,2354,NA,NA,NA
2024,P12,NA,NA,NA,NA,NA,985,NA,NA,NA,2395,NA,NA,NA
