C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,NA,2312.88,NA,NA,NA,12513.69,3423.82,4417.6
2024,P02,NA,2304.6,NA,NA,NA,12468.89,3411.56,4401.79
2024,P03,NA,2299.08,NA,NA,NA,12439.02,3403.39,4391.24
2024,P04,NA,2301.84,NA,NA,NA,12453.96,3407.47,4396.51
2024,P05,NA,2296.32,NA,NA,NA,12424.09,3399.3,4385.97
2024,P06,NA,2293.56,NA,NA,NA,12409.16,3395.22,4380.7
2024,P07,NA,2290.8,NA,NA,NA,12394.22,3391.13,4375.43
2024,P08,NA,2296.32,NA,NA,NA,12424.09,3399.3,4385.97
2024,P09,NA,2293.56,NA,NA,NA,12409.16,3395.22,4380.7
2024,P10,NA,2296.32,NA,NA,NA,12424.09,3399.3,4385.97
2024,P11,NA,2301.84,NA,NA,NA,12453.96,3407.47,4396.51
2024,P12,NA,2312.88,NA,NA,NA,12513.69,3423.82,4417.6
