C601,C602,R002-0301,R002-0302,
2022,P01,8786.583793,3104.743793,
2022,P02,25717.03931,20035.19931,
2022,P03,-42785.05,-48466.89,
2022,P04,-26296.69,-31978.53,
2022,P05,3722.6,-1959.24,
2022,P06,52814.30862,47132.46862,
2022,P07,19576.94345,13895.10345,
2022,P08,20842.33828,15160.49828,
2022,P09,13852.83207,8170.992069,
2022,P10,13002.55966,7320.719655,
2022,P11,57016.20345,51334.36345,
2022,P12,115297.8545,109616.0145,
