C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208,
2022,P01, NA , NA ,5400, NA ,21132.09,11784.85, NA ,17562.39,
2022,P02, NA , NA ,10800, NA ,7754.66,9501.48, NA ,4744.20,
2022,P03, NA , NA ,10800, NA ,79844.74,7126.11, NA ,9142.65,
2022,P04, NA , NA ,10800, NA ,57944.28,9501.48, NA ,16197.16,
2022,P05, NA , NA ,10800, NA ,21195.5,11876.85, NA ,28663.97,
2022,P06, NA , NA ,10800, NA ,0,7126.11, NA ,12999.84,
2022,P07, NA , NA ,10800, NA ,0,11876.85, NA ,32607.81,
2022,P08, NA , NA ,10800, NA ,2895.46,9501.48, NA ,47354.42,
2022,P09, NA , NA ,10800, NA ,0,9501.48, NA ,79356.80,
2022,P10, NA , NA ,10800, NA ,5906.89,11876.85, NA ,63342.14,
2022,P11, NA , NA ,10800, NA ,0,9501.48, NA ,41919.17,
2022,P12, NA , NA ,26295.69, NA ,0,11876.85, NA ,13144.89,
,,,,,,,,,,
