C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2022,P01,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA
2022,P02,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA
2022,P03,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA
2022,P04,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA
2022,P05,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA
2022,P06,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,NA
2022,P07,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA
2022,P08,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA,NA
2022,P09,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,NA,NA
2022,P10,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA
2022,P11,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA,NA,NA
2022,P12,NA,NA,NA,NA,NA,175,NA,NA,NA,NA,NA,NA,NA
