C601,C602,C101,R002-0501
2024,P01,P108,19
2024,P02,P108,13
2024,P03,P108,23
2024,P04,P108,28
2024,P05,P108,28
2024,P06,P108,28
2024,P07,P108,32
2024,P08,P108,33
2024,P09,P108,45
2024,P10,P108,42
2024,P11,P108,37
2024,P12,P108,38
2024,P01,P114,396
2024,P02,P114,354
2024,P03,P114,330
2024,P04,P114,381
2024,P05,P114,340
2024,P06,P114,325
2024,P07,P114,364
2024,P08,P114,332
2024,P09,P114,347
2024,P10,P114,341
2024,P11,P114,333
2024,P12,P114,393
2024,P01,P207,618
2024,P02,P207,582
2024,P03,P207,553
2024,P04,P207,584
2024,P05,P207,553
2024,P06,P207,573
2024,P07,P207,601
2024,P08,P207,585
2024,P09,P207,545
2024,P10,P207,617
2024,P11,P207,559
2024,P12,P207,584
