C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,NA,NA,NA,NA,NA,637,NA,NA,NA,1014,NA,NA,NA
2024,P02,NA,NA,NA,NA,NA,595,NA,NA,NA,936,NA,NA,NA
2024,P03,NA,NA,NA,NA,NA,608,NA,NA,NA,883,NA,NA,NA
2024,P04,NA,NA,NA,NA,NA,612,NA,NA,NA,965,NA,NA,NA
2024,P05,NA,NA,NA,NA,NA,581,NA,NA,NA,893,NA,NA,NA
2024,P06,NA,NA,NA,NA,NA,601,NA,NA,NA,898,NA,NA,NA
2024,P07,NA,NA,NA,NA,NA,633,NA,NA,NA,965,NA,NA,NA
2024,P08,NA,NA,NA,NA,NA,618,NA,NA,NA,917,NA,NA,NA
2024,P09,NA,NA,NA,NA,NA,579,NA,NA,NA,958,NA,NA,NA
2024,P10,NA,NA,NA,NA,NA,659,NA,NA,NA,968,NA,NA,NA
2024,P11,NA,NA,NA,NA,NA,596,NA,NA,NA,892,NA,NA,NA
2024,P12,NA,NA,NA,NA,NA,622,NA,NA,NA,977,NA,NA,NA
