C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P02,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P03,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P04,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P05,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P06,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P07,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P08,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P09,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P10,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P11,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P12,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
