C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,0,401.90,22740.13,NA,0,27501.83,68598.57,NA
2024,P02,0,401.90,25244.12,NA,0,28183.42,69283.65,NA
2024,P03,0,401.90,25082.15,NA,0,27895.47,68362.1,NA
2024,P04,0,401.90,24810.70,NA,0,38531.49,162735.15,NA
2024,P05,0,401.90,26844.85,NA,0,52379.77,139002.1,NA
2024,P06,0,41094.92,13789.38,NA,0,52510.18,90230.08,NA
2024,P07,0,22838.34,40613.64,NA,0,52366.27,653441.66,NA
2024,P08,0,22838.34,13892.02,NA,0,52065.71,92641.66,NA
2024,P09,0,22838.34,28343.62,NA,0,100198.54,182462.66,NA
2024,P10,0,22838.34,26645.84,NA,0,64268.00,108862.66,NA
2024,P11,0,22838.39,27410.01,NA,0,52447.51,1844719.61,NA
2024,P12,0,22838.34,26304.41,NA,0,73480.08,175627.66,NA
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
