C601,C602,R005-0701,R005-0702,R005-0703,R005-0704,R005-0705
2022,P01,ALTAN REDES S.A.P.I. DE C.V., NA , NA ,782.95,37728.9
2022,P02,ALTAN REDES S.A.P.I. DE C.V., NA , NA ,742.75,38236.64
2022,P03,ALTAN REDES S.A.P.I. DE C.V., NA , NA ,937.67,44267.25
2022,P01,ASIYA COMUNICACIONES S.A. DE C.V, NA ,239332.2,110660.85,1039046.22
2022,P02,ASIYA COMUNICACIONES S.A. DE C.V, NA ,214016.8,98594.85,876593.12
2022,P03,ASIYA COMUNICACIONES S.A. DE C.V, NA ,242452.8,110234.99,979436.85
2022,P01,AT&T COMERCIALIZACION MOVIL  A. DE R.L. DE C.V., NA , NA ,397.76,662855.7
2022,P02,AT&T COMERCIALIZACION MOVIL  A. DE R.L. DE C.V., NA , NA ,366.39,626620.67
2022,P03,AT&T COMERCIALIZACION MOVIL  A. DE R.L. DE C.V., NA , NA ,515.88,689945.68
2022,P01,AT&T COMUNICACIONES DIGITALES  S. DE R.L., NA , NA ,1022.71,21282.72
2022,P02,AT&T COMUNICACIONES DIGITALES  S. DE R.L., NA , NA ,978.86,19661.52
2022,P03,AT&T COMUNICACIONES DIGITALES  S. DE R.L., NA , NA ,928.9,19572.24
2022,P01,AT&T NORTE  S DE R.L. DE C.V., NA , NA ,7.86,13540.49
2022,P02,AT&T NORTE  S DE R.L. DE C.V., NA , NA ,5.67,11871.63
2022,P03,AT&T NORTE  S DE R.L. DE C.V., NA , NA ,4.48,10070.52
2022,P01,AXTEL  S.A.B. DE C.V., NA , NA ,14859.79, NA 
2022,P02,AXTEL  S.A.B. DE C.V., NA , NA ,13547.92, NA 
2022,P03,AXTEL  S.A.B. DE C.V., NA , NA ,14737.73, NA 
2022,P01,CABLEMAS TELECOMUNICACIONES  S.A. DE C.V., NA , NA ,4645.52, NA 
2022,P02,CABLEMAS TELECOMUNICACIONES  S.A. DE C.V., NA , NA ,4162.36, NA 
2022,P03,CABLEMAS TELECOMUNICACIONES  S.A. DE C.V., NA , NA ,4403.89, NA 
2022,P01,CABLEVISION RED  S.A. DE C.V., NA , NA ,2795.06, NA 
2022,P02,CABLEVISION RED  S.A. DE C.V., NA , NA ,2519.45, NA 
2022,P03,CABLEVISION RED  S.A. DE C.V., NA , NA ,2744.24, NA 
2022,P01,DIRECTO TELECOM  S.A. DE C.V., NA , NA ,237.76, NA 
2022,P02,DIRECTO TELECOM  S.A. DE C.V., NA , NA ,225.92, NA 
2022,P03,DIRECTO TELECOM  S.A. DE C.V., NA , NA ,271.44, NA 
2022,P01,IP MATRIX  S.A. DE C.V., NA , NA ,44.52, NA 
2022,P02,IP MATRIX  S.A. DE C.V., NA , NA ,40.19, NA 
2022,P03,IP MATRIX  S.A. DE C.V., NA , NA ,36.65, NA 
2022,P01,MARCATEL COM  S.A. DE C.V., NA , NA ,305.02, NA 
2022,P02,MARCATEL COM  S.A. DE C.V., NA , NA ,288.83, NA 
2022,P03,MARCATEL COM  S.A. DE C.V., NA , NA ,335.93, NA 
2022,P01,MAXCOM TELECOMUNICACIONES  S.A.B. DE C.V., NA , NA ,2554.16, NA 
2022,P02,MAXCOM TELECOMUNICACIONES  S.A.B. DE C.V., NA , NA ,3039.96, NA 
