C601,C602,R001-0201,R001-0202,R001-0203,R001-0204,R001-0205,R001-0206,R001-0207,R001-0208
2024,P01,"318,991.60",NA,"1,030,433.93",NA,NA,"435,911.97",NA,"275,530.36"
2024,P02,"465,178.00",NA,"1,402,353.57",NA,NA,"464,236.04",NA,"472,939.53"
2024,P03,"422,617.94",NA,"1,534,936.50",NA,NA,"501,994.46",NA,"610,324.10"
2024,P04,"254,926.65",NA,"1,406,171.08",NA,NA,"501,728.23",NA,"649,516.20"
2024,P05,"542,313.68",NA,"1,719,427.97",NA,NA,"603,157.27",NA,"573,957.02"
2024,P06,"291,928.17",NA,"1,309,639.57",NA,NA,"501,115.37",NA,"516,596.03"
2024,P07,"302,370.05",NA,"1,661,910.10",NA,NA,"633,849.66",NA,"725,690.39"
2024,P08,"411,661.31",NA,"1,982,083.39",NA,NA,"514,360.96",NA,"1,056,061.12"
2024,P09,"296,610.46",NA,"1,627,182.90",NA,NA,"665,365.50",NA,"665,206.94"
2024,P10,"283,574.98",NA,"1,910,018.55",NA,NA,"560,541.12",NA,"1,065,902.45"
2024,P11,"293,790.40",NA,"1,482,138.35",NA,NA,"581,807.86",NA,"606,540.09"
2024,P12,"173,841.61",NA,"1,769,559.19",NA,NA,"767,768.71",NA,"827,948.87"
,,,,,,,,,
