C601;C602;R004-0801;R004-0802;R004-0803
2024;P04;951864;2719117;57734
2024;P04;952391;5181816;38650
2024;P04;951803;2552116;29150
2024;P04;752808;316646;18470
2024;P04;951875;435352;16948
2024;P04;951889;2204677;12548
2024;P05;951864;2719117;57734
2024;P05;952391;5181816;38650
2024;P05;951803;2552116;29150
2024;P05;951875;316646;18470
2024;P05;752808;435352;16948
2024;P06;951864;2174084;50206
2024;P06;952391;4182552;41377
2024;P06;951803;2170416;24066
2024;P06;752808;268794;15468
2024;P06;951875;368497;14064
