C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2023,P01,NA,7500,30000,NA,1800,24892.80,NA,NA
2023,P02,NA,7500,30000,NA,1600,28451.40,NA,NA
2023,P03,NA,7500,30000,NA,1450,28373.40,NA,NA
2023,P04,NA,7500,30000,NA,1900,28892,NA,NA
2023,P05,NA,7500,30000,NA,2500,31290.60,NA,NA
2023,P06,NA,7500,30000,NA,2200,28399.40,NA,NA
2023,P07,NA,7500,30000,NA,1950,28373.80,NA,NA
2023,P08,NA,7500,30000,NA,2600,28373.20,NA,NA
2023,P09,NA,7500,30000,NA,2850,28399.60,NA,NA
2023,P10,NA,7500,30000,NA,1950,28373.40,NA,NA
2023,P11,NA,7500,30000,NA,1800,28399.60,NA,NA
2023,P12,NA,7500,30000,NA,1700,47564.40,NA,NA
