C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2023,P01,14000,1750,113150,NA,NA,NA,NA,NA,NA
2023,P02,13500,1900,92202,NA,NA,NA,NA,NA,NA
2023,P03,15800,1800,103150,NA,NA,NA,NA,NA,NA
2023,P04,12900,1600,98030,NA,NA,NA,NA,NA,NA
2023,P05,14500,1700,103146,NA,NA,NA,NA,NA,NA
2023,P06,16200,2000,107693,NA,NA,NA,NA,NA,NA
2023,P07,17800,1500,114918,NA,NA,NA,NA,NA,NA
2023,P08,15900,1600,104551,NA,NA,NA,NA,NA,NA
2023,P09,12000,2100,106577,NA,NA,NA,NA,NA,NA
2023,P10,16500,2700,112840,NA,NA,NA,NA,NA,NA
2023,P11,17900,1950,113875,NA,NA,NA,NA,NA,NA
2023,P12,18000,2500,109825,NA,NA,NA,NA,NA,NA
