C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2023,P01,NA,NA,NA,NA,NA,351,NA,NA,NA,NA,NA,NA,NA
2023,P02,NA,NA,NA,NA,NA,313,NA,NA,NA,NA,NA,NA,NA
2023,P03,NA,NA,NA,NA,NA,347,NA,NA,NA,NA,NA,NA,NA
2023,P04,NA,NA,NA,NA,NA,330,NA,NA,NA,NA,NA,NA,NA
2023,P05,NA,NA,NA,NA,NA,353,NA,NA,NA,NA,NA,NA,NA
2023,P06,NA,NA,NA,NA,NA,356,NA,NA,NA,NA,NA,NA,NA
2023,P07,NA,NA,NA,NA,NA,399,NA,NA,NA,NA,NA,NA,NA
2023,P08,NA,NA,NA,NA,NA,362,NA,NA,NA,NA,NA,NA,NA
2023,P09,NA,NA,NA,NA,NA,370,NA,NA,NA,NA,NA,NA,NA
2023,P10,NA,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,NA,NA
2023,P11,NA,NA,NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA
2023,P12,NA,NA,NA,NA,NA,386,NA,NA,NA,NA,NA,NA,NA
