C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2023,P01,NA,NA,NA,NA,NA,NA,NA,NA
2023,P02,NA,NA,NA,NA,NA,NA,NA,NA
2023,P03,NA,NA,NA,NA,NA,NA,NA,NA
2023,P04,NA,NA,NA,NA,NA,NA,NA,NA
2023,P05,NA,NA,NA,NA,NA,NA,NA,NA
2023,P06,NA,NA,NA,NA,NA,NA,NA,NA
2023,P07,NA,NA,NA,NA,NA,NA,NA,NA
2023,P08,NA,NA,NA,NA,NA,NA,NA,NA
2023,P09,NA,NA,3773.62,NA,NA,NA,NA,20653.21
2023,P10,NA,NA,3774.62,NA,NA,NA,NA,17436.73
2023,P11,NA,NA,3775.62,NA,NA,NA,NA,19136
2023,P12,NA,NA,3776.62,NA,NA,NA,NA,12188.9
