C601,C602,R019-0101,R019-0102,R019-0103,R019-0104,R019-0105,R019-0106
2024,P10,"Radiom¢vil Dipsa, S.A de C.V.",NA,NA,0.0,NA,NA
2024,P10,Grupo At&t,NA,NA,0.0,NA,NA
2024,P10,"Pegaso PCS, S.A. de C.V.",NA,NA,0.0,NA,NA
2024,P10,Otros Adquirientes con menor trafico de Interconecci¢n,NA,NA,0.0,NA,NA
2024,P11,"Radiom¢vil Dipsa, S.A de C.V.",NA,NA,0.0,NA,NA
2024,P11,Grupo At&t,NA,NA,0.0,NA,NA
2024,P11,"Pegaso PCS, S.A. de C.V.",NA,NA,0.0,NA,NA
2024,P11,Otros Adquirientes con menor trafico de Interconecci¢n,NA,NA,0.0,NA,NA
2024,P12,"Radiom¢vil Dipsa, S.A de C.V.",NA,NA,0.0,NA,NA
2024,P12,Grupo At&t,NA,NA,0.0,NA,NA
2024,P12,"Pegaso PCS, S.A. de C.V.",NA,NA,0.0,NA,NA
2024,P12,Otros Adquirientes con menor trafico de Interconecci¢n,NA,NA,0.0,NA,NA
