C601,C602,R002-0301,R002-0302
2024,P01,-14902,-14902
2024,P02,96510,96510
2024,P03,47289,47289
2024,P04,-18157,-18157
2024,P05,-205891,-205891
2024,P06,14329,14329
2024,P07,14162,14162
2024,P08,130870,130870
2024,P09,60644,60644
2024,P10,58708,58708
2024,P11,137145,137145
2024,P12,-169299,-169299
