C601,C602,C101,R002-0501
2024,P01,P108,484
2024,P02,P108,486
2024,P03,P108,491
2024,P04,P108,495
2024,P05,P108,507
2024,P06,P108,506
2024,P07,P108,513
2024,P08,P108,549
2024,P09,P108,561
2024,P10,P108,542
2024,P11,P108,551
2024,P12,P108,558
,,,
2024,P01,P114,104
2024,P02,P114,103
2024,P03,P114,105
2024,P04,P114,105
2024,P05,P114,104
2024,P06,P114,96
2024,P07,P114,85
2024,P08,P114,63
2024,P09,P114,52
2024,P10,P114,50
2024,P11,P114,46
2024,P12,P114,46
,,,
2024,P01,P207,378
2024,P02,P207,374
2024,P03,P207,370
2024,P04,P207,364
2024,P05,P207,355
2024,P06,P207,310
2024,P07,P207,274
2024,P08,P207,229
2024,P09,P207,199
2024,P10,P207,189
2024,P11,P207,186
2024,P12,P207,184
