C601,C602,C103,R011-0101,R011-0102,,,,
2024,P10,P01,"17,058,007",0,,,,
2024,P10,P02,"2,099,753","608,391",,,,
2024,P10,P03,"3,202,655","22,233",,,,
2024,P11,P01,"17,247,691",0,,,,
2024,P11,P02,"2,112,577","645,332",,,,
2024,P11,P03,"3,222,215","22,255",,,,
2024,P12,P01,"17,485,240",0,,,,
2024,P12,P02,"2,129,902","673,238",,,,
2024,P12,P03,"3,248,639","22,578",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
