C601,C602,R011-1301,R011-1302,R011-1303,R011-1304,
2024,P10,NA,NA,35332465 ,62564889 ,
2024,P11,NA,NA,32350403 ,60975321 ,
2024,P12,NA,NA,34558149 ,58690501 ,
