C601,C602,C003,C006,C101,C102,C103,R001-0501
2024,P04,XXX,NA,P115,P02,NA,10
2024,P05,XXX,NA,P115,P02,NA,11
2024,P06,XXX,NA,P115,P02,NA,15
2024,P04,XXX,NA,P108,P02,NA,818
2024,P05,XXX,NA,P108,P02,NA,844
2024,P06,XXX,NA,P108,P02,NA,586
2024,P04,XXX,NA,P101,P02,NA,0
2024,P05,XXX,NA,P101,P02,NA,0
2024,P06,XXX,NA,P101,P02,NA,0
