C601,C602,R001-0601,R001-0602,R001-0603,R001-0604,R001-0605,R001-0606,R001-0607,R001-0608,R001-0609,R001-0610,R001-0611,R001-0612,R001-0613
2024,P04,0,NA,NA,NA,NA,818,NA,NA,NA,NA,662,NA,NA
2024,P05,0,NA,NA,NA,NA,844,NA,NA,NA,NA,650,NA,NA
2024,P06,0,NA,NA,NA,NA,586,NA,NA,NA,NA,589,NA,NA
