C601,C602,C101,C102,C103,R004-0101
2024,P04,P115,P02,NA,10
2024,P05,P115,P02,NA,11
2024,P06,P115,P02,NA,15
2024,P04,P108,P02,NA,818
2024,P05,P108,P02,NA,844
2024,P06,P108,P02,NA,586
2024,P04,P101,P02,NA,0
2024,P05,P101,P02,NA,0
2024,P06,P101,P02,NA,0
