C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01," $3,236.90 ", $-   ," $13,594.97 ", $-   ," $1,942.14 "," $1,942.14 "," $1,942.14 ", $-   
2024,P02," $6,377.67 ", $-   ," $26,786.23 ", $-   ," $3,826.60 "," $3,826.60 "," $3,826.60 ", $-   
2024,P03," $4,791.89 ", $-   ," $20,125.92 ", $-   ," $2,875.13 "," $2,875.13 "," $2,875.13 ", $-   
2024,P04," $4,827.07 ", $-   ," $20,273.69 ", $-   ," $2,896.24 "," $2,896.24 "," $2,896.24 ", $-   
2024,P05," $5,644.47 ", $-   ," $23,706.78 ", $-   ," $3,386.68 "," $3,386.68 "," $3,386.68 ", $-   
2024,P06," $3,556.25 ", $-   ," $14,936.25 ", $-   ," $2,133.75 "," $2,133.75 "," $2,133.75 ", $-   
2024,P07," $3,885.51 ", $-   ," $16,319.15 ", $-   ," $2,331.31 "," $2,331.31 "," $2,331.31 ", $-   
2024,P08," $7,175.04 ", $-   ," $30,135.17 ", $-   ," $4,305.02 "," $4,305.02 "," $4,305.02 ", $-   
2024,P09," $5,945.93 ", $-   ," $24,972.91 ", $-   ," $3,567.56 "," $3,567.56 "," $3,567.56 ", $-   
2024,P10," $6,338.41 ", $-   ," $26,621.31 ", $-   ," $3,803.04 "," $3,803.04 "," $3,803.04 ", $-   
2024,P11," $6,583.20 ", $-   ," $27,649.45 ", $-   ," $3,949.92 "," $3,949.92 "," $3,949.92 ", $-   
2024,P12," $5,929.02 ", $-   ," $24,901.89 ", $-   ," $3,557.41 "," $3,557.41 "," $3,557.41 ", $-   
