P03601,P03602,P03203,R026-0301,R026-0302,R026-0303,R026-0304,R026-0305,R026-0306
2025,P04,P03, NA , 540.64 , NA , 78.00 , NA , 30.74 
2025,P04,P05, NA , 562.64 , NA , 44.00 , NA , 30.42 
2025,P05,P03, NA , 314.70 , NA , 10.50 , NA , 30.10 
2025,P05,P05, NA , 629.30 , NA , 48.00 , NA , 30.45 
2025,P06,P03, NA , 341.10 , NA , 70.50 , NA , 30.67 
2025,P06,P05, NA , 584.70 , NA , 37.50 , NA , 30.35 
